[0.0s - 3.2s] 台大查獲考場的重大違規案件
[3.2s - 6.0s] 有學生在EIA學系的二階比試時
[6.0s - 8.2s] 使用AI眼鏡來作弊
[8.2s - 9.8s] 以為神不知 鬼不覺
[9.8s - 12.6s] 但全部都被監視委員看在眼裡
[12.6s - 14.5s] 這一副超級粗獷的眼鏡
[14.5s - 15.8s] INMO AIR 3
[15.8s - 18.1s] 這是考生使用的作弊工具
[18.1s - 21.1s] 官方定價大約新台幣三萬四千元
[21.1s - 22.7s] 鏡角上面有按鈕
[22.7s - 25.1s] 看上去似乎有兩層鏡片
[25.1s - 25.9s] 根據掌握
[25.9s - 28.4s] 這一名考生是4顆滿級分
[28.5s - 29.8s] 以60幾分的分數
[29.8s - 31.1s] 進到台大醫學系
[31.1s - 33.1s] 以及牙醫系的二階爭士
[33.1s - 35.2s] 比試的時候明明是大熱天
[35.2s - 36.6s] 他卻纏著帽T
[36.6s - 39.2s] 監視委員當下就覺得不太對
[39.2s - 40.9s] 考到一半的時候就發現說
[40.9s - 42.6s] 他的頭一直滴滴的
[42.6s - 44.2s] 他的前面蹲下來看
[44.2s - 45.9s] 他突然發現說
[45.9s - 50.3s] 他這個換了一個粗獷的眼鏡
[50.3s - 51.9s] 那這個粗獷的眼鏡
[51.9s - 54.0s] 是剛才在檢查的時候沒有戴的
[54.0s - 56.1s] 監視委員把眼鏡拿下的時候
[56.1s - 57.8s] 發現鏡框非常燙
[57.8s - 59.8s] 原來考生正透過AI眼鏡
[59.8s - 60.7s] 掃描題目
[60.7s - 62.7s] 傳到手機的AI軟體解題
[62.7s - 64.5s] 再把答案回傳眼鏡
[81.0s - 82.9s] 為了搶台大醫學院的門票
[82.9s - 83.8s] 不惜作弊
[83.8s - 85.9s] 結果就是該顆零分
[85.9s - 87.9s] 事實上韓國近期也發生
[87.9s - 90.7s] 兩名多益考生透過AI眼鏡作弊
[90.7s - 92.4s] 最後被取消考試成績
[92.4s - 93.8s] 四年禁考
[93.8s - 96.2s] 當AI科技成為舞弊的工具
[96.2s - 98.2s] 考場的制度如何應變
[98.2s - 99.9s] 成為新考驗
[99.9s - 100.5s] 多點新聞
[100.5s - 102.7s] 由雅馨 溫妍君 許承軒 台北報導
