0.0s - 1.5s: 最近有不少朋友
1.5s - 3.0s: 不管是不是会写代码
3.0s - 5.0s: 大家都会用智能体编程
5.0s - 6.2s: 也就是Wipe Coding
6.2s - 7.9s: 当你在屏幕前
7.9s - 11.7s: 仅仅是漫不经心的修改了魔法周一里的几个词
11.7s - 14.8s: 你怎么确信AI接下来生成的那一堆
14.8s - 16.8s: 看起来完美无缺的代码
16.8s - 18.6s: 不会在部署的瞬间
18.6s - 21.8s: 把你整个生产环境直接搞崩溃了呢
21.8s - 24.0s: 这个绝对不是威严耸听
24.0s - 25.7s: 这恰恰是目前
25.7s - 29.0s: 当我们全速冲进AI编程时代的时候
29.0s - 30.8s: 整个软件开发行业
30.8s - 33.4s: 面临的最大最致命的盲区
33.4s - 34.8s: 可以打个比方
34.8s - 36.9s: 我们现在仿佛拥有了
36.9s - 39.7s: 像大圆模型这样极其强大的
39.7s - 42.7s: 轰鸣作响的V8级别的赛车引擎
42.7s - 44.3s: 但令人毛骨悚然的是
44.3s - 47.4s: 当我们驾驶这台超级引擎的时候
47.4s - 48.6s: 我们的方式
48.6s - 51.6s: 却像是闭着眼睛在高速公路上盲开
51.6s - 55.0s: 这个跟汽车的自动驾驶还不太一样
55.0s - 57.6s: 我们完全是在依赖自己的直觉
57.6s - 59.0s: 甚至是在碰运动
59.0s - 62.0s: 所以在今天的深度探讨中
62.0s - 64.5s: 我要带你切入一个极其颠覆性
64.5s - 66.3s: 甚至可能会重塑你
66.3s - 68.5s: 未来职业生涯的前沿概念
68.5s - 73.0s: 这个概念来自于DevOps领域的先驱级人物
73.0s - 74.3s: Patrick Depp
74.3s - 76.7s: 熟悉运维和开发历史的朋友
76.7s - 78.6s: 对这个名字绝对默默声
78.6s - 81.3s: 最近他提出了一个非常大胆
81.3s - 83.1s: 和一针见血的论断
83.1s - 86.4s: 他认为上下文即新代码
86.4s - 86.8s: 没错
86.8s - 88.4s: 这句话非常关键
88.4s - 88.9s: 值得我们评论
89.0s - 91.1s: 我们在脑海中加粗高谅
91.1s - 92.7s: Patrick的意思是
92.7s - 96.7s: 虽然AI模型是驱动一切运转的底层引擎
96.7s - 99.5s: 但是你未给这个AI的上下文
99.5s - 101.7s: 才是决定车子往哪开
101.7s - 103.5s: 开的稳不稳的真正燃料
103.5s - 105.2s: 如果你给错了燃料
105.2s - 107.3s: 或者燃料里掺杂了水
107.3s - 110.7s: 那么再顶级的V8引擎也会瞬间报废
110.7s - 113.8s: 直接在生产环境中罢工给你看
113.8s - 117.0s: 如果我们跳出日常敲代码的视角
117.0s - 118.9s: 把这件事情和更大的问题
119.0s - 121.1s: 和更大的历史图景联系起来看
121.1s - 122.1s: 你会发现
122.1s - 124.4s: 这其实是一次极其深刻的
124.4s - 128.0s: 甚至带有宿命感的一场历史重演
128.0s - 128.9s: 怎么说呢
128.9s - 131.7s: 让我们把时间拨回到2009年
131.7s - 133.9s: 那是云计算刚刚兴起
133.9s - 137.3s: 但开发和运维还势如水火的年代
137.3s - 139.8s: 正是Patrick Depp这群先驱者
139.8s - 143.8s: 在当时推动了轰轰烈烈的DevOps运动
143.8s - 145.7s: 当时他们看到了什么痛点呢
145.7s - 148.4s: 他们看到开发团队和运维团队
148.4s - 151.6s: 就像是两座完全断裂的孤岛
151.6s - 153.6s: 开发写完代码往墙外一扔
153.6s - 155.2s: 说我的任务完成了
155.2s - 157.4s: 运维接手后系统崩溃
157.4s - 159.6s: 两个人就开始相互甩锅
159.6s - 161.2s: 为了解决这个断裂
161.2s - 163.8s: 他们当时提出了一个阵容发挥的问题
163.8s - 165.9s: 如果运维也能像开发那样
165.9s - 168.5s: 用写代码的方式来进行管理
168.5s - 169.6s: 会发生什么
169.6s - 171.8s: 这一问直接诞生了后来
171.8s - 176.0s: 统治云原生时代的基础设施及代码理念
176.0s - 178.3s: 而现在时间来到了AI时代
178.3s - 181.1s: Puncher凭借他敏感的历史直觉
181.1s - 184.3s: 察觉到了行业里出现的另一个巨大断裂
184.3s - 188.0s: 那就是人类模糊的意图与AI最终生成的
188.0s - 190.4s: 确切结果之间的断裂
190.4s - 191.8s: 为了弥合这个断裂
191.8s - 195.5s: 我们正在经历一场剧烈的行业大转移
195.5s - 197.3s: 我们正在从过去几十年
197.3s - 200.7s: 形以为常的传统软件开发生命周期
200.7s - 201.9s: 向一个全新的
201.9s - 203.4s: 你可能还没有听说过
203.4s - 205.4s: 但必须了解的概念转移
205.4s - 208.3s: 这就是上下文开发生命周期
208.3s - 209.6s: 我们的核心工作
209.6s - 212.5s: 正在从管理代码的SDLC
212.5s - 215.5s: 变成了管理上下文的CDLC
215.5s - 218.2s: 这和传统的SDLC一样
218.2s - 222.6s: CDLC也是一个由四大环节组成的无限闭环
222.6s - 226.4s: 那就是生成、评估、分发以及观察
226.4s - 227.1s: 接下来
